admin,1478,5
123,5264,3
5nwt3p-ff4wosqm5o,60,17
,4244,0
j5cmmu=kyf0-br8csw,50,18
fob,52,3
welcome,158,7
come,132,4
qazwsx,510,6
wsx,250,3
qweasd,316,6
123qwe,298,6
asd,652,3
hosting,38,7
qwe,1540,3
123456,2770,6
1314,114,4
452,40,3
fan,46,3
mini,482,4
tie,160,3
red,60,3
test,280,4
1234,1518,4
search,62,6
last,82,4
qwe123,192,6
user,202,4
dock,58,4
linux,100,5
2022,406,4
@202,690,4
12345,718,5
word,1412,4
pass,1436,4
gin,46,3
administrator,60,13
post,108,4
global,34,6
qwerty,336,6
wer,616,3
rty,112,3
1234567,458,7
asd123,156,6
123456789,364,9
987654321,28,9
87654321,28,8
root,482,4
!qaz,214,4
edc,280,3
seed,54,4
1q2w3e4r,72,8
ear,124,3
1qazxsw2,48,8
qaz,566,3
die,398,3
12345678,444,8
serve,232,5
2024,384,4
456,248,3
Saga,26,4
password,172,8
Pass,262,4
led,26,3
huawei,218,6
Hua,154,3
centos,144,6
err,44,3
guest,46,5
2023,620,4
1qaz,176,4
abc,758,3
new,48,3
qwe$%^uio,24,9
qwe$%^,24,6
uio,26,3
Admin,442,5
testing,36,7
qazwsxedc,120,9
ubuntu,120,6
shi,44,3
adventure,22,9
Adventure,22,9
234,40,3
ali,56,3
dies,24,4
next,22,4
tar,24,3
Action,22,6
action,22,6
1qaz@wsx3edc,26,12
1qaz@wsx3,26,9
1qaz@wsx,80,8
hello,88,5
2020,178,4
matrix,24,6
smoke,24,5
Smoke,20,5
666,120,3
!qaz@wsx3edc,24,12
!qaz@wsx3,24,9
!qaz@w,36,6
jin,28,3
520,72,3
deploy,48,6
Zaki,20,4
wdkj@2022,20,9
wdkj@2,20,6
qweqwe,126,6
19850521qaz!,20,12
19850521q,20,9
mad,30,3
hadoop,32,6
lewan,1458,5
founder,42,7
sword,100,5
!@#456,70,6
c!@#,112,4
idc!,54,4
under,26,5
121,62,3
pre,20,3
rot,20,3
Pre,20,3
men,40,3
des,18,3
ine,24,3
Test,110,4
qweasdzxc,106,9
love,24,4
321,256,3
2021,242,4
...,86,3
2019,152,4
5201314,28,7
5201,30,4
asdasd,46,6
201,138,3
this,18,4
developer,38,9
dev,118,3
schedule,40,8
satisfactory,26,12
van,20,3
but,16,3
portfolio,16,9
025,22,3
fen,58,3
window,42,6
qwerty123,30,9
qwerty1,28,7
2018,130,4
4rfv%tgb,26,8
1qaz@w,54,6
1qaz@,84,5
1945,16,4
done,16,4
gas,26,3
111,58,3
cap,16,3
311,16,3
craft,64,5
mine,76,4
password1,62,9
qwertyuiop,52,10
1234567890,52,10
2016,66,4
040,14,3
change,62,6
Change,34,6
a123456,76,7
abc123,126,6
cent,18,4
tcdn@20,20,7
tcdn,20,4
2007,18,4
hang,54,4
broad,14,5
sun,30,3
secret,16,6
System,38,6
system,58,6
passw0rd,30,8
.com,212,4
123123,92,6
Shadow,14,6
shadow,14,6
pays,14,4
2017,88,4
all,14,3
WER,80,3
1qaz2wsx,50,8
wane,94,4
aini1314.,26,9
aini13,18,6
mop,12,3
beg,12,3
link,26,4
Link,12,4
two,16,3
dos,12,3
bonus,12,5
cloud,2642,5
Ami,12,3
Administrator,16,13
steam,30,5
100,36,3
tea,12,3
mint,12,4
seeds,12,5
Wang,16,4
q1w2e3r4,24,8
era,84,3
654321,28,6
Cent,12,4
aaa,176,3
library,14,7
qaz@,40,4
Automation,12,10
automation,12,10
Pakistan,12,8
NGE,12,3
020,22,3
Oracle,38,6
jumps,10,5
master,26,6
back,16,4
man,38,3
light,34,5
house,28,5
range,10,5
worker,10,6
cat,28,3
password123,24,11
889,10,3
words,10,5
IBM,10,3
India,16,5
mln,10,3
Canada,10,6
can,14,3
host,16,4
wet,10,3
minus,10,5
Samsung,16,7
samsung,16,7
drs,10,3
543,10,3
sum,12,3
random,10,6
123654,60,6
ago,10,3
qwer1234,54,8
lame,22,4
1234qwer,40,8
Amax,12,4
1979,10,4
max,12,3
Window,24,6
2012,62,4
adh,10,3
qwertyu,42,7
shr,10,3
54321,18,5
and,20,3
street,10,6
main,12,4
bang,10,4
then,10,4
teams,20,5
peak,20,4
woaini1314,20,10
woaini1,26,7
big,20,3
1982,16,4
Mine,18,4
00000,40,5
364,8,3
132,8,3
world,28,5
flu,12,3
son,18,3
valid,16,5
vision,8,6
run,8,3
grant,8,5
ranch,8,5
factor,8,6
agent,8,5
data,16,4
flow,8,4
air,20,3
chain,8,5
block,8,5
net,38,3
aon,20,3
820,18,3
202,14,3
a1b2c3,14,6
048,8,3
super,24,5
Super,14,5
ops,18,3
20s,8,3
ash,20,3
east,14,4
123abc,42,6
220,28,3
Dock,14,4
101,22,3
123456a,18,7
ham,8,3
want,12,4
start,8,5
Start,8,5
gob,10,3
pad,16,3
jam,8,3
debian,12,6
Deb,8,3
lie,36,3
asdf1234,30,8
fire,8,4
wall,12,4
Royal,8,5
abcd1234,32,8
bug,8,3
ban,8,3
your,6,4
add,16,3
who,12,3
4rfv%,6,5
313,8,3
bit,14,3
soya,6,4
2005,14,4
@wsx,32,4
min,24,3
incorrect,6,9
2014,100,4
Use,10,3
789456,10,6
fashion,6,7
note,6,4
digital,14,7
Digital,8,7
Management,6,10
management,6,10
sole,8,4
sunshine,8,8
Sunshine,8,8
franc,8,5
147258,22,6
Jupiter,6,7
pit,8,3
fuckyou,10,7
----,6,4
---,6,3
china,42,5
2004,14,4
Avco,6,4
112233,44,6
www.,60,4
weed,26,4
ads,10,3
nin,10,3
secure,8,6
spring,6,6
Spring,6,6
bus,10,3
365,6,3
Galaxy,6,6
nise,6,4
500,10,3
SEC,6,3
258,6,3
131,10,3
345,16,3
too,14,3
mill,16,4
455,10,3
1st,6,3
music,6,5
life,10,4
africa,6,6
Africa,6,6
China,6,5
drag,6,4
182,6,3
mines,6,5
1q2w3e,20,6
asdfghjkl,6,9
jkl,12,3
987,44,3
007,6,3
highs,4,5
123321,54,6
monkey,8,6
Diesel,4,6
diesel,8,6
mot,6,3
her,6,3
920,6,3
buy,6,3
lenovo,12,6
Len,4,3
000,40,3
612,8,3
644,8,3
888,116,3
stg,22,3
woai,30,4
163,10,3
200,130,3
zxcvbnm,24,7
support,18,7
key,6,3
you,10,3
2015,104,4
12345qwert,4,10
zxcvbn,8,6
Red,8,3
has,4,3
was,8,3
wear,4,4
ADM,10,3
idc.c,24,5
pid,6,3
anonymous,8,9
STO,4,3
016,4,3
aid,10,3
372,4,3
901,4,3
ISO,4,3
841,4,3
199,6,3
fgh,10,3
local,8,5
652,4,3
car,10,3
418,4,3
886,8,3
252,8,3
741,6,3
into,6,4
tel,12,3
nkfq03-20,22,9
nkfq03,22,6
ease,4,4
weeks,4,5
week,4,4
Uni,6,3
Anchor,4,6
anchor,4,6
120,12,3
asdfgh,10,6
521,12,3
428,4,3
126,4,3
....,4,4
915,4,3
power,32,5
one,12,3
butter,4,6
fly,6,3
star,8,4
Zhou,4,4
Monkey,4,6
dell,22,4
Del,18,3
ABC,26,3
2022.,62,5
2022.10.1,26,9
2022.10.,36,8
2022.1,36,6
222,108,3
224,4,3
soft,18,4
bar,6,3
non,4,3
par,6,3
manager,14,7
387,4,3
135,10,3
lid,4,3
578,4,3
921,4,3
fsb,6,3
computer,10,8
293,4,3
758,4,3
259,4,3
441,4,3
GLJ,4,3
062,4,3
cheng,8,5
ich,6,3
092,4,3
992,4,3
wood,6,4
109,4,3
973,4,3
847,4,3
bag,4,3
personal,4,8
060,4,3
713,4,3
051,4,3
controller,4,10
andrew,4,6
626,6,3
843,4,3
402,4,3
Lin,6,3
della,30,5
1200,4,4
bet,6,3
old,4,3
yuan,10,4
dns,8,3
588,4,3
789,186,3
Post,6,4
eased,4,5
bid,4,3
751,4,3
name,6,4
110,8,3
413,6,3
2000,10,4
1992,6,4
cms,6,3
King,4,4
David,4,5
1935,4,4
zero,4,4
zaq12wsx,4,8
140,4,3
216,4,3
899,40,3
898,4,3
long,4,4
1996,4,4
bio,8,3
than,6,4
278,4,3
ask,4,3
party,8,5
tip,8,3
orange,6,6
891,6,3
022,6,3
010,4,3
tower,4,5
usr,12,3
698,4,3
552,4,3
fast,4,4
575,4,3
114,4,3
ice,4,3
456123,6,6
account,6,7
112,50,3
368,4,3
ebb,4,3
213,4,3
091,12,3
conn,4,4
080,4,3
suck,4,4
ball,4,4
Speed,4,5
speed,4,5
flex,4,4
3322,4,4
361,6,3
Wei,8,3
Kitty,6,5
fusion,4,6
here,4,4
264,4,3
699,4,3
act,6,3
bcf,4,3
506,4,3
odd,4,3
13D,4,3
az@w,4,4
Cos,4,3
are,10,3
some,6,4
control,4,7
total,4,5
talc,4,4
IDC,6,3
miner,4,5
enter,6,5
press,6,5
mind,6,4
blacks,4,6
eep,4,3
243,4,3
den,10,3
333,110,3
465,4,3
let,4,3
Let,4,3
leds,4,4
027,6,3
026,4,3
aged,4,4
arm,4,3
Hack,4,4
777,106,3
quhepai,156,7
hsa,4,3
space,4,5
761,2,3
214,2,3
1990,6,4
ave,2,3
los,4,3
tack,2,4
071,2,3
16p,2,3
Orange,2,6
Tel,2,3
Account,2,7
mail,6,4
Mobile,2,6
mobile,4,6
pokemon,2,7
24th,2,4
est,12,3
oel,2,3
packet,2,6
fence,2,5
slip,2,4
not,2,3
aura,2,4
369,2,3
432,10,3
333333,32,6
clouds,248,6
654,38,3
145,34,3
444,90,3
555,68,3
999999,32,6
0000,30,4
1111,62,4
55555,32,5
000000,30,6
888888,32,6
566,36,3
445,34,3
444444,32,6
aaaaaa,34,6
666666,32,6
111111,32,6
999,100,3
2003,44,4
2011,42,4
778,34,3
222222,32,6
777777,32,6
11111,32,5
555555,32,6
Ash,2,3
nar,4,3
789456123,2,9
ward,2,4
Enercon,2,7
Club,2,4
club,4,4
Moe,2,3
bad,4,3
511,2,3
012,4,3
482,2,3
mid,2,3
247,2,3
risk,2,4
374,2,3
512,4,3
423,12,3
118,4,3
911,2,3
daniel,4,6
fix,2,3
ton,18,3
Jenkins,4,7
Com,6,3
vis,6,3
ultimate,4,8
superstar,2,9
sit,14,3
polar,2,5
bear,2,4
parted,2,6
lead,2,4
end,2,3
leg,2,3
spur,8,4
enterprise,4,10
for,16,3
598,2,3
pen,4,3
970,4,3
115,2,3
263,4,3
did,2,3
fish,4,4
media,4,5
open,4,4
lake,2,4
fiber,2,5
home,2,4
tooth,2,5
blue,4,4
388,2,3
362,2,3
138,2,3
123456789a,2,10
internet,6,8
Inter,2,5
plan,2,4
Sam,2,3
anti,4,4
1997,2,4
ink,2,3
960,6,3
585,2,3
worldwide,2,9
west,2,4
weather,2,7
aim,4,3
rib,2,3
168,2,3
inc,4,3
ent,2,3
minor,2,5
518,4,3
Space,2,5
pace,2,4
troy,2,4
lure,2,4
force,2,5
tri,4,3
1000,2,4
olive,2,5
kind,2,4
time,2,4
thought,2,7
police,2,6
testimony,2,9
ten,4,3
angina,2,6
sure,2,4
Atlanta,2,7
104,2,3
102,4,3
dent,2,4
step,2,4
shuttle,2,7
south,2,5
park,6,4
laser,2,5
211,4,3
solutions,2,9
team,2,4
silly,2,5
slap,2,4
cure,2,4
cast,2,4
out,2,3
school,2,6
sand,2,4
tag,6,3
our,2,3
563,2,3
1976,2,4
rose,2,4
632,2,3
sows,2,4
q1w2e3,4,6
1250,2,4
potato,2,6
head,2,4
914,2,3
laden,2,5
bin,4,3
opt,2,3
operator,2,8
dam,4,3
580,2,3
news,2,4
optics,2,6
mons,2,4
monitor,2,7
michael,2,7
met,2,3
membership,2,10
1986,2,4
marketing,2,9
hub,4,3
pin,2,3
lin,6,3
stream,2,6
layer,2,5
buck,2,4
rata,4,4
567,4,3
inter,6,5
face,2,4
iloveyou,4,8
219,2,3
dont,2,4
know,2,4
hernandez,2,9
gut,4,3
eve,2,3
pro,2,3
access,4,6
fat,2,3
fog,2,3
768,2,3
1230,10,4
dong,4,4
development,2,11
destroyer,2,9
rand,2,4
del,2,3
day,2,3
database,2,8
evil,2,4
677,2,3
crazy,2,5
cinema,2,6
line,2,4
bubble,2,6
318,2,3
edict,2,5
batman,2,6
bail,2,4
art,2,3
ese,4,3
mega,2,4
3456,2,4
147258369,4,9
his,2,3
Zhejiang,4,8
133,6,3
Update,2,6
update,2,6
Tri,2,3
714,2,3
1100,2,4
tap,2,3
Info,2,4
Sino,2,4
Silver,2,6
silver,2,6
Shandong,2,8
hand,4,4
SYSTEM,6,6
343,2,3
cool,2,4
192,2,3
Quest,2,5
Soft,2,4
TDY,2,3
predict,2,7
Pan,2,3
Ora,2,3
Ning,6,4
New,2,3
229,2,3
Eclipse,2,7
Luna,2,4
Love,2,4
Local,2,5
LAB,2,3
keep,2,4
safe,2,4
33p,2,3
Jiang,2,5
CLO,2,3
Hit,2,3
Gibraltar,2,9
cont,6,4
tin,6,3
der,2,3
CNC,2,3
FOR,2,3
Ali,2,3
damp,2,4
532,2,3
662,4,3
172,2,3
via,2,3
sea,2,3
mar,2,3
097,2,3
129,2,3
128,2,3
tell,2,4
iran,2,4
tech,2,4
well,2,4
card,2,4
980,2,3
330,2,3
intercity,2,9
advertisement,2,13
8700,2,4
peg,2,3
392,2,3
440,2,3
Manager,2,7
Java,2,4
dream,4,5
633,2,3
war,2,3
logo,2,4
game,4,4
125,2,3
taka,2,4
310,2,3
jim,2,3
Ten,2,3
122,4,3
212,2,3
saw,2,3
001,2,3
office,2,6
hospital,2,8
ever,2,4
could,8,5
color,4,5
SQL,2,3
Las,2,3
Could,4,5
124,6,3
Color,2,5
apple,2,5
Apple,2,5
Administrators,2,14
332,2,3
Key,2,3
312,2,3
055,2,3
236,2,3
teu,2,3
short,2,5
cuts,2,4
she,4,3
179,2,3
gantry,2,6
lump,2,4
most,4,4
sorry,2,5
unq,2,3
tit,2,3
shun,6,4
help,2,4
desk,2,4
840,4,3
drink,2,5
434,4,3
command,2,7
comercial,2,9
228,2,3
ichi,2,4
Zhang,2,5
725,2,3
177,2,3
Ultimate,2,8
Top,2,3
top,2,3
099,2,3
Tan,2,3
port,2,4
335,2,3
AIR,2,3
STA,2,3
Rock,2,4
rock,2,4
PASS,4,4
patch,2,5
SRV,2,3
Most,2,4
5400,2,4
117,2,3
774,2,3
804,2,3
good,2,4
Good,2,4
direction,2,9
DIRECT,2,6
ION,2,3
Computer,2,8
table,2,5
touch,2,5
Chi,2,3
commercial,2,10
COMMERCIAL,2,10
CMC,2,3
azerty,4,6
5764,2,4
215,2,3
sees,2,4
357,2,3
053,2,3
015,2,3
422,2,3
107,2,3
center,2,6
280,2,3
1991,2,4
ocean,4,5
develop,2,7
ship,2,4
934,2,3
059,2,3
381,2,3
12341234,2,8
original,2,8
Original,2,8
123789,4,6
Lucas,2,5
Word,2,4
Alpha,2,5
522,2,3
023,6,3
focus,2,5
frank,2,5
Frank,2,5
any,2,3
now,2,3
775,2,3
ICA,2,3
hints,4,5
toi,2,3
Shanxi,2,6
alos,2,4
Support,2,7
egg,2,3
wise,2,4
028,4,3
029,2,3
021,2,3
024,4,3
030,4,3
offer,2,5
ties,2,4
scientist,2,9
ran,2,3
load,2,4
678,2,3
Plc,2,3
plc,2,3
photo,2,5
chemist,2,7
core,2,4
query,2,5
159,2,3
join,2,4
organisation,2,12
film,6,4
private,2,7
roots,2,5
hell,2,4
VALLEY,2,6
valley,2,6
site,2,4
ecu,2,3
pilot,2,5
Lai,2,3
oat,2,3
170,2,3
Tian,2,4
Han,2,3
810,2,3
black,2,5
arc,2,3
2002,6,4
2001,6,4
Gen,2,3
Chu,2,3
avian,2,5
lent,2,4
MGS,2,3
050,2,3
hens,2,4
knows,2,5
Active,2,6
active,2,6
superman,2,8
wild,2,4
